Incident ID,Date,Governorate,District,Area,Target,Main category,Sub-category,Time,Air Raids
20,26/03/2015,Hajja,Washhah,"Samir, Shammakh mountains",Unknown,Unknown,Unknown,unkn,unkn
21,26/03/2015,Lahj,Tuban,Al-Anad,Al-Anad Airbase,Military_Security_Target,Military Site,3,unkn
22,26/03/2015,Lahj,Tuban,Al-Anad,Al-Anad Airbase,Military_Security_Target,Military Site,21,3
23,26/03/2015,Saada,Haydan,Marran,Houses (reportedly belonging to the Houthis leader and his realtives),Political_Tribal,Figure,unkn,2
24,26/03/2015,Saada,Haydan,Maa,Weapons Storage,Military_Security_Target,Weapon storage,unkn,unkn
25,26/03/2015,Saada,Al-Dhaher,Al-Malaheet,Unknown,Unknown,Unknown,unkn,unkn
26,26/03/2015,Saada,Sa'ada,The City,Sa'ada Airport,Infrastructure,Transport,15,unkn
27,26/03/2015,Saada,Majz,Dhahyan,Unknown,Unknown,Unknown,15,unkn
28,26/03/2015,Saada,Al-Safra'a,Al-Naqa'ah,Unknown,Unknown,Unknown,15,unkn
29,26/03/2015,Saada,Kitaf Wa Al-Boqe'e,Beer Zaid,Badw Tents,Civilian,Residential Area,15,unkn
30,26/03/2015,Saada,Al-Dhaher,Al-Marwee,Mountain,Unknown,Unknown,15,1
31,26/03/2015,Taiz,Salah,-,SSF Camp,Military_Security_Target,Military Site,20,unkn
32,26/03/2015,Taiz,Al-Taiziyah,-,Taiz Airport,Infrastructure,Transport,20,unkn
33,26/03/2015,Taiz,Al-Taiziyah,Al-Hawban ,Tariq Air Base,Military_Security_Target,Military Site,20,unkn
34,27/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,unkn,unkn
35,27/03/2015,Capital,Al-Thawrah,Al-Nahdhah,Former 1st Armoured Division,Military_Security_Target,Military Site,unkn,unkn
36,27/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,unkn,unkn
37,27/03/2015,Capital,Ma'ain,Al-Sunainah,Aviation College,Military_Security_Target,Military Site,9,unkn
38,27/03/2015,Capital,Bani Al-Harith,Airport,Sana'a International Airport,Infrastructure,Transport,7,unkn
39,27/03/2015,Capital,Ma'ain,Al-Sunainah,Aviation College,Military_Security_Target,Military Site,20,unkn
40,27/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,8,unkn
41,27/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,2,2
42,27/03/2015,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,2,unkn
43,27/03/2015,Sanaa,Bani Hushaysh,Al-Khorafi,Al-Khorafi Military Camp,Military_Security_Target,Military Site,unkn,unkn
44,27/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,unkn,unkn
45,27/03/2015,Sanaa,Bani Matar,Al-Nabi Shu'ayb mountain,Radars Centre,Military_Security_Target,Military Site,unkn,unkn
46,27/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,unkn,unkn
47,27/03/2015,Sanaa,Sanhan,Raymah Humaid,Raymah Humaid Military Camp,Military_Security_Target,Military Site,unkn,unkn
48,27/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,19,unkn
49,27/03/2015,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,19,unkn
50,27/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,20,unkn
51,27/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,8,unkn
52,27/03/2015,Sanaa,Sanhan,Al-Sawad,48 hospital,Medical_Facility,Hospital,unkn,unkn
53,27/03/2015,Abyan,Zinjibar,Wadi Hassan ,Military Convoy,Military_Security_Target,Moving Target (weapons/fighters),23,1
54,27/03/2015,Dhalie,Al-Dhalie,The City,Aboud Military Camp,Military_Security_Target,Military Site,unkn,2
55,27/03/2015,Dhalie,Al-Dhalie,Al-Jarba'a,Al-Jarba'a Military Camp,Military_Security_Target,Military Site,unkn,2
56,27/03/2015,Dhalie,Qatabah,Murays,Al-Sadrayn Military Camp,Military_Security_Target,Military Site,unkn,1
57,27/03/2015,Hudaydah,Al-Salif,Al-Salif port,Air Defence Military Camp,Military_Security_Target,Military Site,4,unkn
58,27/03/2015,Hudaydah,Al-Salif,-,Al-Salif port,Infrastructure,Transport,22,1
59,27/03/2015,Marib,Marib,Safer,49 Air Defence Battalion,Military_Security_Target,Military Site,4,unkn
60,27/03/2015,Marib,Majzar,Mas ,Mas Military Camp,Military_Security_Target,Military Site,unkn,2
61,27/03/2015,Marib,Marib,Safer,Air Defence Military Site located near the Safer Oil Facility,Military_Security_Target,Military Site,unkn,unkn
62,27/03/2015,Saada,Shada'a,-,Unknown,Unknown,Unknown,2,unkn
63,27/03/2015,Saada,Kitaf Wa Al-Boqe'e,-,131st Infantry Brigade,Military_Security_Target,Military Site,4,unkn
64,27/03/2015,Saada,Kitaf Wa Al-Boqe'e,Al-Boqe'e,Al-Boqe'e Market,Civilian,Market place,unkn,unkn
65,27/03/2015,Saada,Majz,Dhahyan,Unknown,Unknown,Unknown,unkn,unkn
66,27/03/2015,Saada,Kitaf Wa Al-Boqe'e,Al-Salim,Unknown,Unknown,Unknown,unkn,unkn
67,27/03/2015,Saada,Monabbih,Ozlat Al-Maswad,Civilian's house,Civilian,Residential Area,17,unkn
68,28/03/2015,Capital,Azal,Noqom,Weapons Storage,Military_Security_Target,Weapon storage,3,unkn
69,28/03/2015,Capital,Al-Wahdah,Hadda,Residence of former Presiden Ali Abdullah Saleh,Political_Tribal,Figure,3,unkn
70,28/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,4,unkn
71,28/03/2015,Capital,Ma'ain,Al-Sunainah,Aviation College,Military_Security_Target,Military Site,unkn,unkn
72,28/03/2015,Capital,Al-Thawrah,Al-Nahdhah,Former 1st Armoured Division,Military_Security_Target,Military Site,19,unkn
73,28/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,24,unkn
74,28/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Al-Nahdain Military Camp,Military_Security_Target,Military Site,unkn,unkn
75,28/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,2,5
76,28/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,19,unkn
77,28/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,19,unkn
78,28/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,19,unkn
79,28/03/2015,Abyan,Khanfir,Shaqrah,115th Infantry Brigade,Military_Security_Target,Military Site,23,unkn
80,28/03/2015,Abyan,Zinjibar,Wadi Hassan ,Pro-Houthi forces,Military_Security_Target,Forces,unkn,
81,28/03/2015,Amran,Qaflah Odhr,-,Al-Qashlah Military Camp,Military_Security_Target,Military Site,17,3
82,28/03/2015,Dhamar,Mayfa'at  Ans,Samah,Samah Mlitary Camp,Military_Security_Target,Military Site,1,unkn
83,28/03/2015,Hajja,Abs,-,25th Mechanized Infantry Brigade,Military_Security_Target,Military Site,unkn,unkn
84,28/03/2015,Hudaydah,Al-Durayhimi,Al-Jabbanah,Al-Hudaydah Airport,Infrastructure,Transport,19,unkn
85,28/03/2015,Hudaydah,Al-Durayhimi,Al-Jabbanah,"Military Airport, Air Defence forces, Radars",Military_Security_Target,Military Site,20,unkn
86,28/03/2015,Hudaydah,Al-Hudaydah City,Al-Damghah Neighbourhood,Residential Area,Civilian,Residential Area,unkn,unkn
87,28/03/2015,Hudaydah,Bajil,Kilo 7,Coastal Defence Military Camp,Military_Security_Target,Military Site,unkn,unkn
88,28/03/2015,Jawf,Al-Ghayl,-,House (reportedly belonging to an Islah leader Al-Hasan Abkar),Political_Tribal,Figure,unkn,unkn
89,28/03/2015,Marib,Marib,The City,180th Air Defence Military Camp Radars,Military_Security_Target,Military Site,unkn,1
90,28/03/2015,Marib,Marib,Sahn Al-Jin,14th Armoured Brigade,Military_Security_Target,Military Site,17,1
91,28/03/2015,Saada,Sa'ada,Qahzah,Al-Saifi Military Camp,Military_Security_Target,Military Site,unkn,unkn
92,28/03/2015,Saada,Sa'ada,The City,School ,Educational_facility,School,13,unkn
93,28/03/2015,Saada,Sa'ada,The City,Electricity station,Economic_infrastructure,Water & Electricity,13,unkn
94,28/03/2015,Saada,Sa'ada,-,Central jail ,Military_Security_Target,Military Site,16,unkn
95,28/03/2015,Saada,Sa'ada,-,Yemeni Gas Company,Infrastructure,Gov. Compounds,16,unkn
96,28/03/2015,Saada,Al-Dhaher,Al-Malaheet,105th Infantry Brigade (Al-Kamb Military Camp),Military_Security_Target,Military Site,unkn,unkn
97,28/03/2015,Saada,Sa'ada,Qahzah,Al-Saifi Military Camp,Military_Security_Target,Military Site,unkn,unkn
98,28/03/2015,Saada,Saqain,Al-Sha'af,Unknown,Unknown,Unknown,unkn,3
99,28/03/2015,Saada,Sa'ada,Kahlan,Kahlan Military Camp,Military_Security_Target,Military Site,23,8
100,28/03/2015,Saada,Sa'ada,-,1st Artillery Brigade,Military_Security_Target,Military Site,24,unkn
101,29/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,1,unkn
102,29/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Sana'a International Airport,Infrastructure,Transport,unkn,unkn
103,29/03/2015,Capital,Ma'ain,Al-Nahdhah,Former 1st Armoured Division,Military_Security_Target,Military Site,20,unkn
104,29/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,20,unkn
105,29/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,20,unkn
106,29/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,21,unkn
107,29/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Al-Nahdain Military Camp,Military_Security_Target,Military Site,21,unkn
108,29/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,20,unkn
109,29/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,20,unkn
110,29/03/2015,Sanaa,Bani Hushaysh,Al-Khorafi,Al-Khorafi Military Camp,Military_Security_Target,Military Site,20,unkn
111,29/03/2015,Bayda,No'man,Aqabat Al-Sahah,Pro-Houthi forces,Military_Security_Target,Forces,16,1
112,29/03/2015,Dhamar,Ans,Al-Qarn,Pro-Houthi forces training camps,Military_Security_Target,Military Site,22,unkn
113,29/03/2015,Hudaydah,Al-Durayhimi,Al-Jabbanah,Air Defence Military Camp,Military_Security_Target,Military Site,1,unkn
114,29/03/2015,Hudaydah,Al-Mina,Al-Katheeb,Air Defence Battalion,Military_Security_Target,Military Site,unkn,unkn
115,29/03/2015,Hudaydah,Al-Mina,-,Naval Collage,Military_Security_Target,Military Site,21,unkn
116,29/03/2015,Hudaydah,Al-Mina,Al-Katheeb,Radar station,Military_Security_Target,Military Site,21,unkn
117,29/03/2015,Hudaydah,Al-Durayhimi,Al-Jabbanah,Air Defence Military Camp,Military_Security_Target,Military Site,21,1
118,29/03/2015,Jawf,Khab Wa Al-Sha'af,Habash Mountain,Telecommunications Towers,Infrastructure,Communication,unkn,unkn
119,29/03/2015,Marib,Marib,East of Marib City,Military Sites,Military_Security_Target,Military Site,unkn,unkn
120,29/03/2015,Marib,Marib,Sahn Al-Jin,Detecting Radars,Military_Security_Target,Military Site,21,1
121,29/03/2015,Marib,Marib,Third Military  region HQ,Air Defence Battalion,Military_Security_Target,Military Site,21,1
122,29/03/2015,Saada,Baqim,"Ma'ali, Mara'a, Abwab Al-Hadeed",Unknown,Civilian,Residential Area,unkn,unkn
123,29/03/2015,Saada,Sihar,Al-Mahadher,Pro-Houthi forces,Military_Security_Target,Forces,unkn,unkn
124,29/03/2015,Saada,Razih,-,Pro-Houthi forces,Military_Security_Target,Forces,unkn,unkn
125,29/03/2015,Saada,Saqain,"Qarhid, Khamees Al-Mihwar",Unknown,Civilian,Residential Area,unkn,unkn
126,29/03/2015,Saada,Sa'ada,The City,Sa'ada Airport,Infrastructure,Transport,18,unkn
127,29/03/2015,Saada,Sa'ada,The City,Cultural Centre,Infrastructure,Gov. Compounds,unkn,3
128,29/03/2015,Saada,Sa'ada,The City,Al-Ibbi House,Civilian,Residential Area,unkn,unkn
129,29/03/2015,Saada,Haydan,-,Unknown,Unknown,Unknown,18,unkn
130,29/03/2015,Shabwa,Bayhan,Aqabat Al-Qandha'a,Pro-Houthi forces,Military_Security_Target,Forces,unkn,unkn
131,29/03/2015,Taiz,Sabir Al-Mawadim,Al-Aroos Mountain,Al-Arous Military Camp,Military_Security_Target,Military Site,unkn,1
132,29/03/2015,Taiz,Al-Mukha,Al-Mukha Port,Air Defence Military Sites,Military_Security_Target,Military Site,20,1
133,30/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,unkn,unkn
134,30/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,10,unkn
135,30/03/2015,Capital,Al-Wahdah,60m Road,Military supplies camp,Military_Security_Target,Military Site,16,unkn
136,30/03/2015,Capital,Al-Wahdah,60m Road,YEC Storage units,Economic_infrastructure,Food (Storage/transportation),16,unkn
137,30/03/2015,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,unkn,1
138,30/03/2015,Sanaa,Bani Hushaysh,Al-Jamimah,Al-Jamimah Military Camp,Military_Security_Target,Military Site,10,1
139,30/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,16,unkn
140,30/03/2015,Sanaa,Bani Matar,Ayban Mountain,Air Defence Batteries,Military_Security_Target,Military Site,16,unkn
141,30/03/2015,Sanaa,Bani Hushaysh,Al-Khorafi,Al-Khorafi Military Camp,Military_Security_Target,Military Site,16,unkn
142,30/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,20,unkn
143,30/03/2015,Abyan,Khanfir,Shaqrah,Pro-Houthi reinforcement,Military_Security_Target,Moving Target (weapons/fighters),15,
144,30/03/2015,Abyan,Zinjibar,-,15th Infantry Brigade,Military_Security_Target,Military Site,21,
145,30/03/2015,Abyan,Khanfir,Al-Kod,Civilians Gathering,Civilian,Social gathering,unkn,unkn
146,30/03/2015,Aden,Khor Maksar,Al-Alam Checkpoint,Pro-Houthi reinforcement,Military_Security_Target,Moving Target (weapons/fighters),14,1
147,30/03/2015,Aden,Khor Maksar,Al-Areesh,Bus (with civilians onboard),Civilian,Vehicle/Bus,unkn,1
148,30/03/2015,Aden,Khor Maksar,-,Aden Airport,Infrastructure,Transport,20,1
149,30/03/2015,Aden,Khor Maksar,Near President Hadi House,Residential Area,Civilian,Residential Area,unkn,unkn
150,30/03/2015,Aden,Khor Maksar,-,39th Armoured Brigade,Military_Security_Target,Military Site,unkn,1
151,30/03/2015,Aden,Al-Mualla,-,Aden Port,Infrastructure,Transport,unkn,2
152,30/03/2015,Hajja,Harad,Al-Mazraq,IDPs Camp,Civilian,Residential Area,1,4
153,30/03/2015,Ibb,Yarim,Bab Al-Dhawrain,4 Houses,Civilian,Residential Area,unkn,unkn
154,30/03/2015,Ibb,Yarim,Bab Al-Dhawrain,2 Gas stations,Economic_infrastructure,Oil & Gas,unkn,unkn
155,30/03/2015,Lahj,Tuban,Al-Husayni,Pro-Houthi forces,Military_Security_Target,Forces,21,3
156,30/03/2015,Lahj,Al-Musaymir,-,Al-Wataniyah Cement Factory,Infrastructure,Factory,23,unkn
157,30/03/2015,Shabwa,Bayhan,Outskirts of the city,Anti-Houthi Groups,Military_Security_Target,Forces,unkn,1
158,30/03/2015,Saada,Shada'a,Al-Mashnaq,Residential Area,Civilian,Residential Area,unkn,unkn
159,30/03/2015,Saada,Sa'ada,The City,Local Airport,Infrastructure,Transport,unkn,unkn
160,30/03/2015,Saada,Sa'ada,Qahzah,Electricity Station,Economic_infrastructure,Water & Electricity,unkn,1
161,30/03/2015,Saada,Kitaf Wa Al-Boqe'e,Marar,Unknown,Unknown,Unknown,unkn,1
162,30/03/2015,Taiz,Mawyah,Awman Mountain,Air Defence Military Site (Missiles Battalion),Military_Security_Target,Military Site,20,4
163,30/03/2015,Taiz,Al-Taiziyah,Al-Hawban ,Tariq Air Base,Military_Security_Target,Military Site,20,unkn
164,30/03/2015,Taiz,Al-Taiziyah,-,Taiz Airport,Infrastructure,Transport,unkn,1
165,30/03/2015,Taiz,Sabir Al-Mawadim,Al-Aroos Mountain,Pro-Houthi forces,Military_Security_Target,Forces,unkn,unkn
166,31/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Sana'a International Airport,Infrastructure,Transport,1,2
167,31/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,1,unkn
168,31/03/2015,Capital,Al-Thawrah,Al-Nahdhdah,Former 1st Armoured Division,Military_Security_Target,Military Site,1,unkn
169,31/03/2015,Capital,Al-Sab'ein,Al-Nahdain,3rd Armoured Presdintial Guards,Military_Security_Target,Military Site,1,unkn
170,31/03/2015,Capital,Al-Sab'ein,Noqom Mountain,Al-Hafa Military Camp,Military_Security_Target,Military Site,21,unkn
171,31/03/2015,Capital,Azal,Noqom Mountain,Weapons Storage,Military_Security_Target,Weapon storage,21,unkn
172,31/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,2,3
173,31/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,19,unkn
174,31/03/2015,Dhalie,Al-Dhalie,The City,33rd Armoured Brigade ,Military_Security_Target,Military Site,10,5
175,31/03/2015,Dhalie,Al-Dhalie,-,Al-Jarba'a Military Camp,Military_Security_Target,Military Site,10,unkn
176,31/03/2015,Dhalie,Al-Dhalie,-,Al-Jarba'a Military Camp,Military_Security_Target,Military Site,19,unkn
177,31/03/2015,Hajja,Harad,-,2nd Border Guards Brigade,Military_Security_Target,Military Site,3,unkn
178,31/03/2015,Hajja,Harad,-,DHL Mails Bus,Infrastructure,Transport,unkn,1
179,31/03/2015,Hajja,Harad,-,Harad Customs,Infrastructure,Gov. Compounds,19,1
180,31/03/2015,Hajja,Harad,-,Al-Twal Crossing-Border,Infrastructure,Transport,20,unkn
181,31/03/2015,Hajja,Midi,-,Midi Port,Infrastructure,Transport,22,unkn
182,31/03/2015,Hudaydah,Al-Durayhimi,Al-Jabbanah,Al-Hudaydah Airport,Military_Security_Target,Military Site,1,1
183,31/03/2015,Hudaydah,,-,Al-Ahliyah oil and packaging materials company,Economic_infrastructure,Private factory,unkn,unkn
184,31/03/2015,Hudaydah,,-,Al-Tadhamoniyah soft drinks company,Economic_infrastructure,Private factory,unkn,unkn
185,31/03/2015,Hudaydah,Al-Hali,Kilo 16,Yamani Dairy Factory,Economic_infrastructure,Private factory,23,4
186,31/03/2015,Hudaydah,,-,Dar Al-Dhyafah,Unknown,Unknown,24,unkn
187,31/03/2015,Hudaydah,Bajil,-,Coastal Defence Military Camp,Military_Security_Target,Military Site,24,unkn
188,31/03/2015,Hudaydah,Al-Hali,Jaizan Road,The Traffiq Police,Military_Security_Target,Military Site,24,unkn
189,31/03/2015,Ibb,Yarim,Kitab,Thawabah and Al-Qadiri Fuel Stations and Two Oil Trucks,Economic_infrastructure,Oil & Gas,3,8
190,31/03/2015,Ibb,Yarim,Al-Dhawrain,Al-Dhawrain Checkpoint,Military_Security_Target,Checkpoints,3,unkn
191,31/03/2015,Ibb,Yarim,The City,55th Artillery Brigade,Military_Security_Target,Military Site,22,unkn
192,31/03/2015,Marib,Marib,Sahn Al-Jin,Missiles Battalion,Military_Security_Target,Military Site,20,2
193,31/03/2015,Marib,Marib,-,Military forces (Protection Oil pipeline),Military_Security_Target,Military Site,unkn,unkn
194,31/03/2015,Saada,Kitaf Wa Al-Boqe'e,-,131st Infantry Brigade,Military_Security_Target,Military Site,unkn,4
195,31/03/2015,Saada,Shada'a,Al-Mothalath,Governmental Compound,Infrastructure,Gov. Compounds,12,4
196,31/03/2015,Saada,Shada'a,Al-Mothalath,Security HQ,Military_Security_Target,Military Site,12,4
197,31/03/2015,Saada,Al-Dhaher,"Al-Hassamah, Wadi Layh",Pro-Houthi forces,Military_Security_Target,Forces,unkn,unkn
198,31/03/2015,Saada,Razih,Aqabat Bisbas,Pro-Houthi forces,Military_Security_Target,Forces,unkn,3
199,31/03/2015,Saada,Haydan,Marran,Unknown,Unknown,Unknown,unkn,unkn
200,31/03/2015,Saada,Shada'a,-,Unknown,Unknown,Unknown,21,12
201,31/03/2015,Shabwa,Bayhan,-,Pro-Houthi forces,Military_Security_Target,Forces,unkn,unkn
202,31/03/2015,Taiz,Al-Mukha,-,Air Defence Military Sites,Military_Security_Target,Military Site,2,unkn
203,1/4/15,Capital,Ma'ain,Madhbah,Al-Sha'ab Stadium,Infrastructure,Sport Facility,1,unkn
204,1/4/15,Capital,Azal,Noqom Mountain,Military Site,Military_Security_Target,Military Site,20,unkn
205,1/4/15,Capital,Al-Thawrah,Al-Hasabah,Maintenance Military Unit,Military_Security_Target,Military Site,20,unkn
206,1/4/15,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,unkn,unkn
207,1/4/15,Capital,Al-Thawrah,Al-Jiraf,Residential Area,Civilian,Residential Area,unkn,unkn
208,1/4/15,Capital,Al-Thawrah,Al-Nahdhah,Former 1st Armoured Division,Military_Security_Target,Military Site,unkn,unkn
209,1/4/15,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,unkn,unkn
210,1/4/15,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,19,unkn
211,1/4/15,Sanaa,Bani Matar,Ayban Mountain,Unknown,Military_Security_Target,Military Site,19,unkn
212,1/4/15,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,19,unkn
213,1/4/15,Sanaa,Hamdan,-,YEC Food Storage Units,Economic_infrastructure,Food (storage/transportation),unkn,2
214,1/4/15,Sanaa,Bani Hushaysh,Sarif,Al-Khorafi Military Camp,Military_Security_Target,Military Site,unkn,unkn
215,1/4/15,Aden,Khor Maksar,-,Aden Airport,Infrastructure,Transport,unkn,unkn
216,1/4/15,Aden,Dar Sa'ad,-,Pro-Houthi forces,Military_Security_Target,Forces,12,1
217,1/4/15,Aden,Dar Sa'ad,-,Governmental Compound,Infrastructure,Gov. Compounds,unkn,unkn
218,1/4/15,Aden,,Green City,Building (Reportedly used by pro-Houthi forces),Unknown,Unknown,unkn,unkn
219,1/4/15,Hajja,Harad,Al-Mazraq,IDPs Camp,Civilian,Residential Area,unkn,3
220,1/4/15,Hudaydah,Al-Durayhimi,Al-Jabbanah,Air Forces Base(67th aviation Brigade weapons stores),Military_Security_Target,Military Site,unkn,unkn
221,1/4/15,Hudaydah,Bajil,Kilo 7,Coastal Defence Military Camp,Military_Security_Target,Military Site,unkn,unkn
222,1/4/15,Ibb,Yarim,-,55th Artillery Brigade,Military_Security_Target,Military Site,unkn,unkn
223,1/4/15,Lahj,Tuban,Sabir,5th Missiles Brigade,Military_Security_Target,Military Site,4,unkn
224,1/4/15,Saada,Razih,Haram Mountain,125th Infantry Brigade Military Sites,Military_Security_Target,Military Site,unkn,unkn
225,1/4/15,Saada,Haydan,Al-Sharfah,Unknown,Civilian,Residential Area,unkn,1
226,1/4/15,Saada,Sa'ada,The City,9th Mechanized Infantry Brigade,Military_Security_Target,Military Site,6,4
227,1/4/15,Saada,Sa'ada,The City,Sa'ada Military HQ ,Military_Security_Target,Military Site,6,2
228,1/4/15,Saada,Haydan,Marran,Al-Majazain Cemenetry,Unknown,Unknown,unkn,unkn
229,1/4/15,Saada,Sa'ada,The City,Republican Guards Military Camp,Military_Security_Target,Military Site,unkn,unkn
230,1/4/15,Saada,Sa'ada,The City,Military police camp,Military_Security_Target,Military Site,unkn,unkn
231,1/4/15,Saada,Razih,-,Unknown,Unknown,Unknown,15,4
232,1/4/15,Saada,Sa'ada,The City,Sa'ada Airport,Infrastructure,Transport,unkn,1
233,1/4/15,Saada,Sa'ada,The City,Al-Saifi Military Camp,Military_Security_Target,Military Site,unkn,1
234,2/4/15,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,unkn,unkn
235,2/4/15,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,unkn,unkn
236,2/4/15,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,unkn,unkn
